"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.351533335E-2,-3.031810552E-2,6.900474608E-2,-1.163198304E-1,1.386042765E-1
2.357633330E-2,-7.443344727E-2,2.047402561E-2,-7.318375111E-2,1.063737995E-1
3.363633330E-2,-5.158983752E-2,4.857340515E-2,-8.963079929E-2,1.142565850E-1
4.369733331E-2,-4.589640364E-2,8.658323050E-2,-1.911279380E-2,9.984204804E-2
5.375833332E-2,-3.445661858E-2,8.291000962E-2,1.119893825E-1,1.435372776E-1
6.381933333E-2,6.014438711E-2,1.728185517E-1,1.985246658E-1,2.699919296E-1
7.387933333E-2,2.509252198E-1,1.761532187E-1,2.505929518E-1,3.959674859E-1
8.394033334E-2,1.856878348E-1,1.163256776E-1,1.389029467E-1,2.594333515E-1
9.400133335E-2,1.082981814E-1,4.942183614E-2,-6.050932646E-2,1.335379818E-1
1.040623334E-1,1.398449332E-2,2.279203731E-1,-2.279420078E-1,3.226465891E-1
1.141223334E-1,-1.302511141E-2,1.571749109E-1,-3.266166955E-1,3.627010779E-1
1.241833333E-1,-7.206408240E-2,1.582706791E-1,-4.051389545E-1,4.408859402E-1
1.342443333E-1,-6.914624870E-3,2.063733834E-1,-3.066841221E-1,3.697200781E-1
1.443053333E-1,-5.411568850E-2,4.877747297E-3,-2.686690342E-1,2.741082817E-1
1.543653333E-1,-8.019353941E-2,1.050943458E-1,-2.625241953E-1,2.939298869E-1
1.644263333E-1,-7.686164975E-3,4.098196507E-2,-3.580612671E-1,3.604808866E-1
1.744873333E-1,2.190732434E-3,9.808996618E-2,-3.207507688E-1,3.354213715E-1
1.845483333E-1,-1.616813600E-2,6.793587506E-2,-2.726650214E-1,2.814656385E-1
1.946083333E-1,-4.887219787E-2,6.792710423E-3,-1.835604715E-1,1.900765092E-1
2.046693334E-1,-9.292541295E-2,9.460502565E-3,-1.160415030E-1,1.489639684E-1
2.147303333E-1,-1.600831698E-1,-2.225450277E-2,-7.475899100E-2,1.780752394E-1
2.247903333E-1,-8.431261048E-2,-1.287439942E-2,-8.103188396E-2,1.176457932E-1
2.348513333E-1,3.131286308E-1,2.790542740E-1,-2.322689474E-2,4.200717985E-1
2.449123333E-1,7.118554556E-1,3.317227766E-1,4.762539607E-1,9.184748365E-1
2.549733333E-1,6.048494357E-1,2.686310273E-1,5.994717515E-1,8.929568016E-1
2.650333333E-1,5.687142277E-1,2.190127248E-1,4.410116225E-1,7.522590628E-1
2.750943333E-1,4.444944800E-1,1.601011500E-1,4.630936325E-1,6.615613603E-1
2.851553333E-1,2.850473776E-1,1.864715078E-1,4.305421829E-1,5.489901657E-1
2.952163334E-1,1.904445447E-1,1.777927780E-1,3.689978993E-1,4.517065930E-1
3.052763334E-1,1.235124904E-1,2.538592064E-1,3.192404330E-1,4.261622766E-1
3.153373333E-1,5.771669626E-2,2.743396640E-1,2.782508665E-1,3.949898897E-1
3.253983333E-1,-5.985502303E-3,2.793346480E-1,2.672405595E-1,3.866279716E-1
3.354583333E-1,-5.292022526E-2,2.822512391E-1,2.198395211E-1,3.616569193E-1
3.455193333E-1,-5.972272977E-2,2.847430301E-1,1.624882758E-1,3.332384092E-1
3.555803333E-1,-2.813665554E-2,3.171871832E-1,1.071151435E-1,3.359658235E-1
3.656413333E-1,-1.886604130E-2,3.001340711E-1,8.929809272E-2,3.137045386E-1
3.757013333E-1,-2.510662839E-2,3.153257221E-1,6.914390981E-2,3.237924244E-1
3.857623333E-1,-4.919087112E-2,3.384157920E-1,3.394016325E-2,3.436523312E-1
3.958233334E-1,-8.526351392E-2,3.495904058E-1,-4.800564051E-4,3.598382263E-1
4.058843333E-1,-1.262731071E-1,3.690411687E-1,-7.559865117E-3,3.901197679E-1
4.159443333E-1,-1.537184756E-1,3.485770833E-1,-4.113399267E-2,3.831805816E-1
4.260053333E-1,-1.635045218E-1,3.214231986E-1,-8.910513461E-2,3.714651077E-1
4.360663333E-1,-1.712567604E-1,2.849038285E-1,-1.110058808E-1,3.504588065E-1
