"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.058054167E-2,6.546104103E-2,1.587114861E-1,-4.935342371E-2,1.786343868E-1
4.064254166E-2,-1.418066740E-2,1.365927118E-1,-7.512502670E-3,1.375321706E-1
5.070554165E-2,-1.149831569E-1,2.829051040E-2,1.473638678E-1,1.890438808E-1
6.076854165E-2,-1.579040587E-1,3.389038883E-2,3.407277811E-1,3.770645449E-1
7.083154167E-2,-1.043915105E-1,1.040096873E-1,4.163691169E-1,4.416773076E-1
8.089354166E-2,-8.288749784E-2,1.195349219E-1,3.684260416E-1,3.961018594E-1
9.095654165E-2,-4.210053742E-2,7.909952536E-2,2.294400644E-1,2.463167338E-1
1.010195417E-1,-3.022133410E-3,-3.029617846E-2,-1.515598297E-2,3.401022698E-2
1.110825417E-1,6.197463870E-3,-7.427381828E-2,-1.996069854E-1,2.130679640E-1
1.211445417E-1,4.978641003E-2,-4.126745537E-2,-2.775743437E-1,2.850073784E-1
1.312075416E-1,1.030410960E-1,-5.573127419E-4,-2.867954028E-1,3.047447803E-1
1.412705417E-1,9.901850402E-2,-2.786607563E-2,-2.183057964E-1,2.413267558E-1
1.513325417E-1,1.284063175E-1,1.769601345E-2,-1.506476641E-1,1.987361315E-1
1.613955417E-1,6.362940073E-2,-1.117595138E-1,-1.311758512E-1,1.837008261E-1
1.714585416E-1,9.873315990E-3,-1.327798156E-1,1.760245800E-2,1.343049080E-1
1.815215417E-1,2.538422495E-2,1.785505772E-2,1.462289232E-1,1.494859858E-1
1.915835417E-1,4.614330232E-3,-1.865079068E-2,-3.469153047E-3,1.952380750E-2
2.016465417E-1,-4.615441203E-2,-8.999595791E-4,1.686921716E-2,4.914885721E-2
2.117095416E-1,-8.452998072E-2,-3.283825547E-2,1.262940109E-2,9.155965506E-2
2.217725417E-1,-1.399262094E-1,-1.002652035E-1,4.943177640E-2,1.790976148E-1
2.318345417E-1,-9.385190427E-2,-1.614362155E-1,1.066502899E-1,2.150444511E-1
2.418975417E-1,-4.869678140E-2,-1.002594294E-1,9.600367963E-2,1.471055274E-1
2.519605417E-1,4.716422617E-2,-4.425245896E-3,1.742984819E-1,1.806211722E-1
2.620235417E-1,5.204986721E-2,-2.741605930E-2,1.057977659E-1,1.210536916E-1
2.720855417E-1,6.809199572E-2,2.595257431E-2,1.575982493E-1,1.736296754E-1
2.821485416E-1,1.685597321E-1,1.011426513E-1,1.081249577E-1,2.243506757E-1
2.922115417E-1,2.293280903E-1,1.135292467E-1,2.893319249E-2,2.575216350E-1
3.022745417E-1,2.708102846E-1,1.308716498E-1,6.336861491E-2,3.073779113E-1
3.123365417E-1,1.658811226E-1,6.910312548E-2,-4.759341180E-2,1.858949210E-1
3.223995416E-1,1.749752972E-1,6.212812811E-3,-1.465867728E-1,2.283476201E-1
3.324625417E-1,9.082772434E-2,-5.461080149E-2,-4.570242226E-2,1.154154519E-1
3.425255417E-1,3.144340217E-3,-9.251640022E-2,2.096577644E-2,9.491435596E-2
3.525875417E-1,-7.692626148E-2,-4.478382468E-2,-3.321510851E-2,9.500781069E-2
3.626505416E-1,-7.980133742E-2,-4.020837843E-2,-2.672937691E-2,9.327071749E-2
3.727135417E-1,-2.354001313E-2,3.897900134E-3,-3.819985986E-3,2.416439813E-2
3.827765417E-1,9.199745983E-2,7.607914612E-2,-1.524135232E-2,1.203489423E-1
3.928385417E-1,2.432090878E-2,-2.211285397E-2,-9.877759874E-2,1.041033089E-1
4.029015417E-1,-1.484979352E-1,-5.939375080E-2,-1.611516023E-1,2.270442541E-1
4.129645417E-1,-1.163300630E-1,-1.171245535E-1,-2.899628395E-1,3.336604455E-1
4.230275417E-1,-1.854649097E-2,-1.735100580E-1,-3.704228657E-1,4.094664968E-1
4.330895416E-1,1.071794629E-1,-1.169467981E-1,-2.962538588E-1,3.360510969E-1
4.431525417E-1,1.221357635E-1,-1.895921668E-1,-3.460557640E-1,4.130580180E-1
4.532155417E-1,-1.350239038E-2,-2.597302495E-1,-3.510755986E-1,4.369166888E-1
4.632785417E-1,-8.878002942E-2,-2.937195294E-1,-3.755923891E-1,4.849976271E-1
4.733405416E-1,-1.306276748E-1,-2.299800548E-1,-4.330190635E-1,5.074050890E-1
4.834035417E-1,-2.354118258E-1,-1.578368157E-1,-3.133429313E-1,4.225103320E-1
4.934665417E-1,-2.911308208E-1,-1.815083912E-1,-1.424095219E-1,3.714605266E-1
5.035285417E-1,-9.488072187E-2,-1.325125247E-1,-3.547973514E-2,1.667954801E-1
5.135915416E-1,1.308516231E-1,-4.920373499E-2,7.026365161E-2,1.564612909E-1
5.236545417E-1,2.521410021E-1,-6.626649499E-3,9.192817032E-2,2.684581642E-1
5.337175417E-1,2.558566153E-1,-1.330490068E-2,8.170606792E-2,2.689154319E-1
5.437795417E-1,1.250979629E-1,-3.282086000E-2,5.874756038E-2,1.420492345E-1
5.538425417E-1,-6.993796170E-2,-1.550491557E-2,2.662529647E-2,7.642399692E-2
5.639055417E-1,-1.400837919E-1,-5.771260321E-2,-7.165762782E-2,1.675978191E-1
5.739685417E-1,-9.733304411E-2,-1.708218737E-1,-2.396370238E-1,3.099673163E-1
5.840305416E-1,-7.761711001E-2,-3.088472995E-1,-4.220093411E-1,5.286803894E-1
5.940935417E-1,-1.643012050E-1,-3.345333870E-1,-5.208237773E-1,6.404411604E-1
6.041565417E-1,-3.008243349E-1,-2.582216679E-1,-3.124775434E-1,5.047929529E-1
6.142195417E-1,-3.342920431E-1,-2.724844886E-1,-3.555253297E-1,5.589250636E-1
6.242815416E-1,-1.887969455E-1,-3.370069054E-1,-3.552616203E-1,5.248130712E-1
6.343445417E-1,-6.929973811E-2,-5.122529286E-1,-7.232011735E-2,5.219537489E-1
6.444075417E-1,-8.990181774E-2,-4.992025280E-1,1.053679955E-1,5.180616906E-1
6.544705417E-1,-2.948171979E-1,-6.205164653E-1,6.922278875E-1,9.752626888E-1
6.645325416E-1,-5.959321395E-1,-6.397043958E-1,8.061404192E-1,1.189209487E0
6.745955417E-1,-8.910791203E-1,-7.359165287E-1,4.764650452E-1,1.250045629E0
6.846585417E-1,-7.312103972E-1,-7.003023076E-1,4.940610713E-1,1.126582580E0
6.947215417E-1,-1.894319531E-1,-5.894668731E-1,1.711947799E-1,6.423887546E-1
7.047835417E-1,-6.397292465E-2,-3.459040287E-1,-1.863074934E-1,3.980610685E-1
7.148465417E-1,-1.602166325E-2,2.601835549E-2,-8.078747034E-2,8.637281910E-2
7.249095417E-1,-8.517960638E-2,1.718359271E-1,1.365359938E-1,2.354256332E-1
7.349725417E-1,5.801636606E-2,2.847465384E-1,3.360657960E-1,4.442822404E-1
7.450345417E-1,1.892936665E-1,4.305597246E-1,3.648498845E-1,5.952555811E-1
7.550975417E-1,1.563565931E-1,3.773974246E-1,3.087581295E-1,5.120622841E-1
7.651605417E-1,1.549082378E-1,3.349554098E-1,1.181815839E-1,3.875030005E-1
