"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.365272917E-1,8.120905459E-1,4.391753629E0,1.347256958E1,1.419355918E1
6.465462917E-1,-1.459593081E0,7.385977694E0,1.344230440E1,1.540709661E1
6.565652917E-1,-2.426095582E0,9.497400250E0,1.384728021E1,1.696566299E1
6.665842917E-1,-2.946163461E0,1.086539319E1,1.223816623E1,1.662857062E1
6.766042917E-1,-3.213884076E0,1.278383307E1,1.014373685E1,1.663282406E1
6.866232917E-1,-3.905971046E0,1.361061767E1,9.265490906E0,1.692202248E1
6.966422917E-1,-4.774349229E0,1.357109985E1,9.190874003E0,1.707165272E1
7.066612917E-1,-5.127799966E0,1.354853310E1,9.099073886E0,1.710702275E1
7.166812917E-1,-4.890416459E0,1.302096807E1,8.739974738E0,1.642707950E1
7.267002917E-1,-4.214431260E0,1.161287434E1,8.171018436E0,1.481167862E1
7.367192917E-1,-2.979123923E0,9.302932967E0,6.959947223E0,1.199419053E1
7.467382917E-1,-1.739241140E0,7.051226937E0,5.577684154E0,9.157255134E0
7.567582917E-1,-1.009676149E0,5.232999562E0,4.314708377E0,6.857145085E0
7.667772917E-1,-6.895878696E-1,3.478266517E0,2.985328696E0,4.635305472E0
7.767962917E-1,-6.305325995E-1,1.657412573E0,8.343561584E-1,1.959780088E0
7.868152917E-1,-5.696654966E-1,1.965038681E-1,-8.837358946E-1,1.069636237E0
7.968352917E-1,-1.266495947E-1,-8.981089354E-1,-2.361658242E0,2.529835851E0
8.068542917E-1,4.953309403E-1,-2.160225171E0,-3.276843971E0,3.955961570E0
8.168732917E-1,1.175719239E0,-3.167710369E0,-3.986680748E0,5.225928444E0
8.268922917E-1,1.931149389E0,-3.953540484E0,-3.968190683E0,5.925061824E0
8.369122917E-1,2.035740874E0,-5.147808554E0,-3.948153445E0,6.799418316E0
8.469312917E-1,2.208105682E0,-5.725643853E0,-3.919305037E0,7.281461406E0
8.569502917E-1,2.523511803E0,-6.553414292E0,-3.893113604E0,8.029426146E0
8.669692917E-1,2.813431665E0,-7.511978760E0,-3.895511547E0,8.917411779E0
8.769882917E-1,2.772058522E0,-7.599085316E0,-4.625408952E0,9.317983369E0
8.870082917E-1,2.432443319E0,-7.397782053E0,-5.801419675E0,9.710840852E0
8.970272917E-1,2.090938151E0,-7.210997427E0,-6.840290971E0,1.015677541E1
9.070462917E-1,1.896315917E0,-6.868750539E0,-7.654139190E0,1.045760942E1
9.170652917E-1,1.820008729E0,-6.693801847E0,-8.173647344E0,1.072044429E1
9.270852917E-1,1.315793237E0,-6.602677669E0,-8.605113972E0,1.092587071E1
9.371042917E-1,1.342633711E0,-7.222186074E0,-7.939852273E0,1.081683369E1
9.471232917E-1,1.046859543E0,-7.318259920E0,-7.963761538E0,1.086620177E1
9.571422917E-1,4.827063632E-1,-7.046371994E0,-7.965684687E0,1.064596150E1
9.671622917E-1,6.403271243E-1,-7.674112694E0,-7.402715934E0,1.068186443E1
9.771812917E-1,6.735957348E-1,-8.046929410E0,-7.322130193E0,1.090047681E1
9.872002917E-1,8.072781412E-1,-8.068878103E0,-7.022823502E0,1.072746670E1
9.972192917E-1,9.966694562E-1,-7.875001389E0,-6.887908942E0,1.050962827E1
1.007239292E0,1.085563726E0,-7.653467930E0,-6.301084133E0,9.972847197E0
1.017258292E0,1.061014775E0,-7.466213772E0,-5.663404920E0,9.431026229E0
1.027277292E0,9.580054736E-1,-7.155311469E0,-5.080886001E0,8.827890986E0
1.037296292E0,7.167566648E-1,-6.707041113E0,-4.423257843E0,8.066185626E0
1.047316292E0,5.258045818E-1,-5.890854592E0,-3.958628731E0,7.116837761E0
1.057335292E0,4.653739004E-1,-4.548169572E0,-3.605836975E0,5.822755328E0
1.067354292E0,3.434530221E-1,-2.786813385E0,-2.937003797E0,4.063284402E0
1.077373292E0,-1.923690096E-1,-7.651186931E-1,-2.160963675E0,2.300473094E0
1.087393292E0,-7.559479201E-1,1.121893573E0,-1.538580778E0,2.048739431E0
1.097412292E0,-1.243009582E0,2.137081307E0,9.376595020E-3,2.472302015E0
1.107431292E0,-1.321270178E0,2.333213877E0,2.793606681E0,3.872193198E0
1.117450292E0,-9.363400778E-1,2.744878909E0,5.909178012E0,6.582513026E0
1.127470292E0,-2.191646793E-1,3.708862576E0,9.104732237E0,9.833607876E0
1.137489292E0,4.586234361E-1,4.717782680E0,1.248940003E1,1.335862725E1
1.147508292E0,3.362532724E-1,5.333630728E0,1.550536580E1,1.640051986E1
1.157527292E0,-3.974490619E-1,6.792636164E0,1.707395624E1,1.837982192E1
1.167547292E0,-1.987983301E0,9.510278742E0,1.685381091E1,1.945375084E1
1.177566292E0,-3.457141989E0,1.322193453E1,1.420997248E1,1.971534177E1
1.187585292E0,-4.355116146E0,1.592964912E1,1.153234766E1,2.014238815E1
1.197604292E0,-4.883744494E0,1.728504073E1,1.170441133E1,2.143867622E1
1.207624292E0,-4.501875996E0,1.740319659E1,1.385752103E1,2.269733526E1
1.217643292E0,-3.211255753E0,1.629769159E1,1.568633011E1,2.284705379E1
1.227662292E0,-1.691758533E0,1.451824119E1,1.618964557E1,2.181160237E1
1.237681292E0,-9.775353201E-1,1.245255790E1,1.462556567E1,1.923353698E1
1.247701292E0,-1.151176429E0,9.843409821E0,1.099379337E1,1.480139915E1
1.257720292E0,-1.420077890E0,6.796216999E0,6.528036207E0,9.529976045E0
1.267739292E0,-1.196247059E0,4.105086281E0,2.112384422E0,4.769162227E0
1.277758292E0,-5.567239273E-1,2.055421432E0,-1.895231112E0,2.850719166E0
1.287777292E0,1.098226967E-1,2.920122886E-1,-5.090131034E0,5.099682945E0
1.297797292E0,5.545206964E-1,-1.630180335E0,-7.391327312E0,7.589249012E0
1.307816292E0,8.705551010E-1,-3.646735325E0,-8.745169405E0,9.514963617E0
1.317835292E0,1.146793356E0,-5.381249868E0,-9.129363048E0,1.065918640E1
1.327854292E0,1.399907335E0,-6.603970488E0,-8.220934362E0,1.063747755E1
1.337874292E0,1.940543671E0,-6.928842959E0,-6.187385024E0,9.489905581E0
1.347893292E0,2.232139346E0,-7.360513655E0,-4.138072178E0,8.734028205E0
1.357912292E0,2.314065123E0,-7.645794044E0,-3.488656434E0,8.716867997E0
1.367931292E0,2.394967199E0,-7.808468846E0,-3.591087958E0,8.922105487E0
1.377951292E0,2.438492703E0,-7.929944751E0,-4.341398578E0,9.363653776E0
1.387970292E0,2.195668361E0,-7.675615429E0,-5.239788179E0,9.549419455E0
1.397989292E0,1.728719075E0,-7.052343755E0,-6.086114173E0,9.474429155E0
1.408002708E0,1.244274042E0,-6.297185209E0,-6.913909755E0,9.434241229E0
1.418022708E0,7.852543111E-1,-5.682158695E0,-7.755307131E0,9.646156771E0
1.428041708E0,5.081196781E-1,-5.296504417E0,-8.316278476E0,9.872772272E0
1.438060708E0,4.537544596E-1,-5.240599773E0,-8.401436155E0,9.912310959E0
1.448079708E0,6.183072411E-1,-5.468753450E0,-8.272619655E0,9.936085955E0
1.458099708E0,8.909064813E-1,-5.884589301E0,-7.972330048E0,9.948876921E0
1.468118708E0,1.014461949E0,-6.308965595E0,-7.442247205E0,9.809139788E0
1.478137708E0,1.132917767E0,-6.602047339E0,-6.736286547E0,9.499899377E0
1.488156708E0,1.058302471E0,-6.597442657E0,-6.599434218E0,9.391420858E0
1.498176708E0,1.021450541E0,-6.683560449E0,-6.494424657E0,9.375014299E0
1.508195708E0,1.059906216E0,-6.871440843E0,-6.238331814E0,9.341139346E0
1.518214708E0,1.109735019E0,-6.923816108E0,-6.061468744E0,9.268880442E0
1.528233708E0,1.152304211E0,-6.857097623E0,-6.026669624E0,9.201540065E0
1.538253708E0,1.117347363E0,-6.632910697E0,-6.163308529E0,9.123066451E0
1.548272708E0,9.972858989E-1,-6.236663604E0,-6.402685937E0,8.993605466E0
1.558291708E0,7.014906080E-1,-5.798066881E0,-6.060687556E0,8.416745350E0
1.568310708E0,1.497156179E-1,-5.066823447E0,-4.931810653E0,7.072331365E0
1.578330708E0,-3.715310593E-1,-3.523976541E0,-4.097120619E0,5.416903484E0
1.588349708E0,-9.283959045E-1,-9.374560189E-1,-3.844785197E0,4.064863583E0
1.598368708E0,-1.397496966E0,1.944977469E0,-3.379766661E0,4.142313099E0
1.608387708E0,-1.045909736E0,3.272950895E0,-1.617160925E0,3.797544495E0
1.618407708E0,-8.284978330E-2,2.547855808E0,2.150740988E0,3.335284111E0
1.628426708E0,1.722474249E-1,1.717043647E0,6.532480676E0,6.756568052E0
1.638445708E0,-5.700913931E-1,2.311914225E0,1.047674981E1,1.074393961E1
