"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.098128333E-1;1.028010094E0;1.096786798E0;1.308332044E-1;1.508927885E0
6.198308333E-1;8.366535294E-1;1.272721916E0;-1.762391728E-1;1.533254855E0
6.298488333E-1;6.601430458E-1;1.326819770E0;-4.779443908E-1;1.557135313E0
6.398668333E-1;5.620577574E-1;1.243248441E0;-7.389605892E-1;1.551656650E0
6.498858333E-1;5.194578677E-1;1.078194991E0;-7.264194810E-1;1.400009349E0
6.599038333E-1;4.264251584E-1;8.815852886E-1;-7.286159876E-1;1.220619635E0
6.699218333E-1;6.353549445E-1;5.018197417E-1;-3.130897468E-1;8.680576871E-1
6.799398333E-1;8.921664101E-1;1.200059152E-1;1.738117012E-1;9.168275904E-1
6.899578333E-1;9.502263379E-1;-9.421443164E-2;3.059801173E-1;1.002711466E0
6.999758333E-1;1.039176521E0;-2.231309187E-1;3.905858195E-1;1.132357069E0
7.099938333E-1;1.150528557E0;-3.187767488E-1;5.212816143E-1;1.302716047E0
7.200118333E-1;1.224621550E0;-3.961757576E-1;5.096202198E-1;1.384328697E0
7.300298333E-1;1.221083400E0;-4.204931581E-1;5.135779077E-1;1.389827843E0
7.400478333E-1;1.086840684E0;-3.805660307E-1;5.113302380E-1;1.259964995E0
7.500665000E-1;9.507794845E-1;-3.174792516E-1;5.466877663E-1;1.141771526E0
7.600845000E-1;8.042734033E-1;-1.922517729E-1;6.208710989E-1;1.034068360E0
7.701025000E-1;6.157077152E-1;-4.023644507E-2;7.333114479E-1;9.583635227E-1
7.801205000E-1;4.028889459E-1;6.484094381E-2;8.117157394E-1;9.085187352E-1
7.901385000E-1;1.296918279E-1;1.339807606E-1;8.273453468E-1;8.480985422E-1
8.001565000E-1;-1.389602494E-1;2.035760754E-1;8.816007838E-1;9.154087127E-1
8.101745000E-1;-3.139077723E-1;2.994142789E-1;1.167553310E0;1.245539133E0
8.201925000E-1;-3.884211802E-1;3.067285609E-1;1.457096320E0;1.538857728E0
8.302105000E-1;-3.989163476E-1;2.842021626E-1;1.531585316E0;1.607998352E0
8.402285000E-1;-3.631682253E-1;3.025267518E-1;1.339820908E0;1.420751091E0
8.502475000E-1;-2.615354311E-1;2.730538613E-1;9.295342112E-1;1.003490430E0
8.602655000E-1;-1.293620449E-1;2.101734889E-1;4.617272843E-1;5.235451453E-1
8.702835000E-1;-4.305948079E-2;8.287317216E-2;6.279310271E-2;1.125391279E-1
8.803015000E-1;3.295958519E-2;-7.904149175E-2;-2.262072120E-1;2.418751629E-1
8.903195000E-1;1.048610419E-1;-1.980943108E-1;-3.395010352E-1;4.068146347E-1
9.003375000E-1;4.549660027E-2;-1.364921397E-1;-2.792197502E-1;3.141078059E-1
9.103555000E-1;-8.919810534E-2;1.090605122E-1;-2.219772631E-1;2.629152005E-1
9.203735000E-1;-9.348937690E-2;1.839972585E-1;-1.576801834E-1;2.597273474E-1
9.303915000E-1;-1.280282950E-1;1.586922634E-1;-1.449337649E-1;2.501604985E-1
9.404105000E-1;-7.777264595E-2;6.893867254E-2;-1.993975820E-1;2.248566671E-1
9.504285000E-1;-2.403147161E-2;2.544708252E-2;-3.366972222E-1;3.385115730E-1
9.604465000E-1;4.905872405E-2;1.109450698E-2;-4.540987875E-1;4.568758642E-1
9.704645000E-1;1.139902997E-1;1.627280116E-3;-4.533884239E-1;4.675013363E-1
9.804825000E-1;1.850363088E-1;5.981526196E-2;-4.081409150E-1;4.521009928E-1
9.905005000E-1;1.761643285E-1;2.041800928E-1;-4.685876763E-1;5.406457170E-1
1.000518500E0;5.405926287E-2;3.113496155E-1;-4.916502277E-1;5.844492564E-1
1.010536500E0;-6.130864084E-2;3.823237038E-1;-4.312443970E-1;5.795704391E-1
1.020554500E0;-1.423890567E-1;4.644460934E-1;-3.442238313E-1;5.953779163E-1
1.030573500E0;-2.643777627E-1;5.963142550E-1;-2.533750570E-1;6.997751150E-1
1.040591500E0;-3.663087648E-1;7.325748450E-1;-2.207920325E-1;8.482907145E-1
1.050609500E0;-4.161580324E-1;8.035828471E-1;-2.692169549E-1;9.441454702E-1
1.060627500E0;-4.378395081E-1;7.988606358E-1;-3.932597877E-1;9.922373763E-1
1.070645500E0;-4.161656338E-1;6.714036137E-1;-5.383443012E-1;9.559242825E-1
1.080663500E0;-3.408125657E-1;4.417413551E-1;-6.458998132E-1;8.535075854E-1
1.090681500E0;-1.939386946E-1;1.610136080E-1;-6.255181005E-1;6.743963918E-1
1.100699500E0;-5.372831047E-2;-1.109631962E-1;-5.224088844E-1;5.367593546E-1
1.110717500E0;7.085422039E-2;-3.966938210E-1;-4.384984162E-1;5.955393934E-1
1.120735500E0;1.922254604E-1;-5.678956175E-1;-4.025568241E-1;7.221551472E-1
1.130754500E0;3.092791164E-1;-6.073742634E-1;-4.338956342E-1;8.079743121E-1
1.140772500E0;3.955957139E-1;-4.945341110E-1;-4.613717736E-1;7.835329408E-1
1.150790500E0;4.423903960E-1;-1.995432508E-1;-5.392261344E-1;7.254595753E-1
1.160808500E0;5.180089277E-1;1.033466130E-1;-6.500576951E-1;8.376089652E-1
1.170826500E0;6.134278858E-1;2.561127234E-1;-7.864640269E-1;1.029763645E0
1.180844500E0;7.284437871E-1;2.046665812E-1;-8.516042751E-1;1.139187694E0
1.190862500E0;8.249608523E-1;-3.479093313E-4;-6.666620334E-1;1.060659604E0
1.200880500E0;9.194372392E-1;-2.941933000E-1;-4.351216491E-1;1.058888750E0
1.210898500E0;1.025475326E0;-5.066641599E-1;-3.067296573E-1;1.184226033E0
1.220917500E0;1.092341160E0;-5.677096760E-1;-2.484540403E-1;1.255879332E0
1.230935500E0;1.064288558E0;-4.351509583E-1;-2.135876781E-1;1.169481162E0
1.240953500E0;9.932811409E-1;-2.743238765E-1;-3.419076761E-1;1.085708005E0
1.250971500E0;9.232578099E-1;-1.599558467E-1;-4.058294376E-1;1.021121143E0
1.260989500E0;7.917486674E-1;-1.127173609E-1;-4.028790788E-1;8.954790382E-1
1.271007500E0;6.483585674E-1;-7.645819187E-2;-3.587945080E-1;7.449484451E-1
1.281025500E0;5.125464588E-1;2.568272531E-2;-3.197761110E-1;6.046653918E-1
1.291043500E0;3.603995687E-1;1.263425428E-1;-3.451932997E-1;5.147899585E-1
1.301061500E0;2.104588330E-1;2.409000224E-1;-4.324787807E-1;5.379253080E-1
1.311079500E0;4.720340252E-2;3.547441417E-1;-5.273949514E-1;6.373515529E-1
1.321098500E0;-9.881619036E-2;4.326565361E-1;-5.347272867E-1;6.949025751E-1
1.331116500E0;-2.327092427E-1;4.987634021E-1;-5.374428798E-1;7.692615758E-1
1.341134500E0;-2.239296484E-1;5.420971173E-1;-4.252891175E-1;7.244892031E-1
1.351152500E0;-1.010533351E-1;5.560269392E-1;-2.254078245E-1;6.084294708E-1
1.361170500E0;5.486208558E-2;5.269972676E-1;-2.915019728E-2;5.306464949E-1
1.371188500E0;2.041555345E-1;4.533603573E-1;1.078898265E-1;5.087782528E-1
1.381206500E0;3.372071725E-1;3.423106223E-1;1.533538286E-1;5.043834217E-1
1.391224500E0;5.109799898E-1;1.755000848E-1;1.644050661E-1;5.647387497E-1
1.401243500E0;6.523937309E-1;2.186741710E-2;2.043859148E-1;6.840097705E-1
1.411261500E0;7.117885780E-1;-4.591759980E-2;1.963581993E-1;7.398026414E-1
1.421279500E0;7.284601593E-1;-6.033741832E-3;1.558469351E-1;7.449690443E-1
1.431297500E0;6.396643424E-1;1.250427067E-1;1.676162108E-1;6.729794526E-1
1.441315500E0;4.654067910E-1;2.559858388E-1;1.792721967E-1;5.605985651E-1
1.451333500E0;3.121957076E-1;3.023846644E-1;1.434801471E-1;4.576998992E-1
1.461351500E0;2.232116103E-1;2.487054706E-1;1.524626398E-1;3.673182416E-1
1.471369500E0;1.908162814E-1;7.923386514E-2;1.608002577E-1;2.618121111E-1
1.481387500E0;1.351502037E-1;-1.665351337E-1;1.412026201E-1;2.567833878E-1
1.491406500E0;7.974023402E-2;-4.453444093E-1;9.142640613E-2;4.615722431E-1
1.501424500E0;-6.968126893E-3;-6.887113720E-1;4.617129587E-2;6.902924723E-1
1.511442500E0;-9.077042162E-2;-8.753007013E-1;6.652611136E-2;8.825057000E-1
1.521460500E0;-1.385445124E-1;-1.018890776E0;7.612709329E-4;1.028267268E0
1.531478500E0;-2.098559850E-1;-1.080806943E0;-5.667534370E-2;1.102449671E0
1.541496500E0;-2.749717480E-1;-1.038536251E0;-1.176384506E-1;1.080743176E0
1.551514500E0;-2.991669416E-1;-9.649636602E-1;-2.055512649E-1;1.030973834E0
1.561532500E0;-3.732494098E-1;-7.906833047E-1;-2.873275725E-1;9.203544666E-1
1.571550500E0;-5.071214122E-1;-5.294092441E-1;-3.663163662E-1;8.195327660E-1
1.581569500E0;-6.607476479E-1;-2.468267602E-1;-4.539333113E-1;8.387886235E-1
1.591587500E0;-7.530020928E-1;1.152544677E-2;-4.817988022E-1;8.940218530E-1
1.601605500E0;-7.973228180E-1;2.501403773E-1;-5.076394024E-1;9.777482536E-1
1.611623500E0;-8.325008368E-1;4.359602129E-1;-5.428688767E-1;1.085276724E0
1.621641500E0;-8.434795690E-1;5.732306170E-1;-5.951424730E-1;1.180781812E0
1.631659500E0;-7.862230486E-1;7.156793153E-1;-5.902490113E-1;1.216033495E0
1.641677500E0;-6.500554293E-1;8.015626341E-1;-5.531484280E-1;1.170917547E0
1.651695500E0;-4.832653570E-1;8.214262104E-1;-5.140755057E-1;1.082848120E0
1.661713500E0;-3.027296501E-1;7.669728452E-1;-5.138048527E-1;9.715389920E-1
1.671732500E0;-1.018532342E-1;7.114517784E-1;-5.093199652E-1;8.808771431E-1
1.681750500E0;7.799133182E-2;6.590396762E-1;-5.110758841E-1;8.376243203E-1
1.691768500E0;2.451070940E-1;6.155375612E-1;-5.206688261E-1;8.426505819E-1
1.701786500E0;4.327044833E-1;5.781071949E-1;-5.225785267E-1;8.913637951E-1
1.711804500E0;6.023936051E-1;5.429718608E-1;-6.149616835E-1;1.017779136E0
1.721822500E0;7.469034469E-1;5.308160841E-1;-7.136018727E-1;1.161403507E0
1.731840500E0;8.137634343E-1;5.710981375E-1;-7.687053021E-1;1.256690834E0
1.741858500E0;8.139680868E-1;6.902877814E-1;-7.754057727E-1;1.319202555E0
1.751877083E0;7.460053146E-1;8.456816304E-1;-7.812418056E-1;1.371874669E0
1.761896083E0;6.318407679E-1;1.026737739E0;-7.627224310E-1;1.426589867E0
1.771914083E0;4.961520356E-1;1.208506624E0;-7.420936004E-1;1.502450670E0
1.781932083E0;3.745948541E-1;1.381944981E0;-6.958865634E-1;1.591964617E0
1.791950083E0;2.749062592E-1;1.534714599E0;-5.756397430E-1;1.662011873E0
1.801968083E0;1.668298334E-1;1.675347737E0;-4.238365960E-1;1.736162347E0
1.811986083E0;1.126939720E-1;1.710726315E0;-3.115571916E-1;1.742513226E0
1.822004083E0;7.805506647E-2;1.655080703E0;-2.510865299E-1;1.675836857E0
1.832022083E0;8.124472260E-2;1.487695969E0;-1.997918306E-1;1.503248741E0
1.842041083E0;1.521919137E-1;1.233720403E0;-1.263302636E-1;1.249474988E0
1.852059083E0;2.463180524E-1;9.478342420E-1;-1.015018896E-1;9.845633381E-1
1.862077083E0;3.550598913E-1;7.088895285E-1;-1.280224478E-1;8.031074880E-1
1.872095083E0;5.147368258E-1;5.161144298E-1;-1.023748789E-1;7.360765724E-1
1.882113083E0;6.916320562E-1;3.918388778E-1;-1.041009770E-1;8.017041978E-1
1.892131083E0;8.116870880E-1;3.719519126E-1;-1.520527500E-1;9.057064607E-1
1.902149083E0;8.847357684E-1;4.429283398E-1;-1.639419667E-1;1.002905710E0
1.912167083E0;8.978966814E-1;5.410808712E-1;-1.848515368E-1;1.064498497E0
1.922185083E0;8.968330729E-1;6.509371895E-1;-1.425118482E-1;1.117290657E0
1.932204083E0;8.957162547E-1;7.657805979E-1;-8.707680859E-2;1.181655577E0
1.942222083E0;9.720896620E-1;7.622389394E-1;-1.916439548E-2;1.235448820E0
1.952240083E0;1.145629760E0;5.485968822E-1;8.960857987E-2;1.273363964E0
1.962258083E0;1.405422721E0;1.194872671E-1;1.725466561E-1;1.421007593E0
1.972276083E0;1.699250570E0;-3.073431033E-1;2.029335395E-1;1.738704778E0
1.982294083E0;1.940831208E0;-6.184629232E-1;2.714009265E-1;2.054989204E0
1.992312083E0;2.073015119E0;-7.391974014E-1;3.477396890E-1;2.228166819E0
2.002330083E0;2.174585933E0;-7.900371873E-1;3.955922055E-1;2.347227286E0
2.012349083E0;2.224839243E0;-8.676028419E-1;4.081694933E-1;2.422652820E0
2.022367083E0;2.219090846E0;-9.045133907E-1;4.303346068E-1;2.434686125E0
2.032385083E0;2.178099525E0;-8.028431743E-1;4.389849776E-1;2.362494976E0
2.042403083E0;2.119525627E0;-5.565315539E-1;4.813006195E-1;2.243605701E0
2.052421083E0;2.014720134E0;-2.356474686E-1;5.259207221E-1;2.095523694E0
2.062439083E0;1.862508924E0;1.429977518E-1;5.737077498E-1;1.954105532E0
2.072457083E0;1.696860228E0;5.746269321E-1;6.320184501E-1;1.899731051E0
2.082475083E0;1.500787885E0;1.051168576E0;6.919630086E-1;1.958604721E0
2.092494083E0;1.280930822E0;1.520801734E0;7.553929462E-1;2.127026137E0
2.102512083E0;1.091709076E0;1.863097154E0;7.920134731E-1;2.300053272E0
2.112530083E0;9.146197182E-1;2.009605574E0;8.087821182E-1;2.351419211E0
2.122548083E0;7.437465352E-1;1.997447459E0;7.661355970E-1;2.264932452E0
2.132566083E0;5.700240040E-1;1.845975922E0;7.071132175E-1;2.057319511E0
2.142584083E0;3.701696813E-1;1.621808292E0;5.213055879E-1;1.743286334E0
2.152602083E0;1.757643789E-1;1.285905633E0;2.595485473E-1;1.323560298E0
2.162620083E0;9.452842712E-2;7.794847172E-1;3.952016115E-2;7.861894753E-1
2.172638083E0;5.507083118E-2;2.242307800E-1;-1.118269030E-1;2.565492066E-1
2.182657083E0;-2.415660203E-2;-3.133616424E-1;-3.038914919E-1;4.371831414E-1
2.192675083E0;-4.296241701E-2;-8.290615046E-1;-5.168395577E-1;9.779119981E-1
2.202693083E0;-6.094552875E-2;-1.286424866E0;-6.613880642E-1;1.447769824E0
2.212711083E0;-1.188119137E-1;-1.586362470E0;-7.884549308E-1;1.775478340E0
2.222729083E0;-2.255955201E-1;-1.714579630E0;-9.008045018E-1;1.949903946E0
2.232747083E0;-3.876557797E-1;-1.734706916E0;-9.536545604E-1;2.017161895E0
2.242765083E0;-6.025245827E-1;-1.659281927E0;-9.502170555E-1;2.004785485E0
2.252783083E0;-8.110772234E-1;-1.528434690E0;-7.933396947E-1;1.903509058E0
2.262802083E0;-9.959615046E-1;-1.355899143E0;-4.812901676E-1;1.749869147E0
2.272820083E0;-1.135822225E0;-1.190908844E0;-2.075791524E-1;1.658748054E0
2.282838083E0;-1.204287273E0;-1.092986108E0;-1.318547130E-2;1.626376440E0
2.292856083E0;-1.227700694E0;-1.026022625E0;2.140231495E-1;1.614242030E0
2.302874083E0;-1.255649800E0;-9.490305823E-1;4.688603027E-1;1.642298831E0
2.312892083E0;-1.278753319E0;-8.789973110E-1;6.479146175E-1;1.681558704E0
2.322910083E0;-1.303760691E0;-8.039617467E-1;7.228784072E-1;1.693723596E0
2.332928083E0;-1.349490010E0;-7.337618297E-1;7.125418456E-1;1.693294302E0
2.342947083E0;-1.403635812E0;-6.496724367E-1;6.707703602E-1;1.685882749E0
2.352965083E0;-1.449382673E0;-5.660461432E-1;5.859097195E-1;1.662651066E0
2.362983083E0;-1.499158266E0;-4.865608478E-1;4.345614128E-1;1.634949720E0
2.373001083E0;-1.559217941E0;-4.317812079E-1;2.402117320E-1;1.635633601E0
2.383019083E0;-1.588616572E0;-4.028866071E-1;2.425534688E-2;1.639087720E0
2.393037083E0;-1.569140666E0;-3.806905764E-1;-1.546826814E-1;1.622052551E0
2.403055083E0;-1.517448941E0;-3.421129864E-1;-2.837549237E-1;1.581205060E0
2.413073083E0;-1.441722236E0;-3.121132618E-1;-4.470583013E-1;1.541375625E0
2.423092083E0;-1.355683381E0;-2.739905852E-1;-5.758736316E-1;1.498191813E0
2.433110083E0;-1.292322952E0;-1.875605518E-1;-6.402093029E-1;1.454353989E0
2.443128083E0;-1.254220156E0;-4.338458598E-2;-6.794423658E-1;1.427092271E0
2.453146083E0;-1.250475599E0;1.152790260E-1;-7.014489466E-1;1.438405055E0
2.463164083E0;-1.261841417E0;2.878555030E-1;-6.932751238E-1;1.468242129E0
2.473182083E0;-1.272980947E0;4.783993042E-1;-6.217321014E-1;1.495291675E0
