"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.071594167E-1,-3.153979352E-1,7.039851764E-1,1.129435078E1,1.132066387E1
6.170824167E-1,-3.550149409E-1,9.581661259E-1,1.174954248E1,1.179389107E1
6.270054167E-1,-3.726538709E-1,9.685243222E-1,1.222623089E1,1.227019283E1
6.369284167E-1,-2.722593526E-1,1.077089868E0,1.300149216E1,1.304887145E1
6.468514167E-1,-1.609625362E-1,1.487758242E0,1.387379149E1,1.395426185E1
6.567754167E-1,-7.265114285E-2,1.806061512E0,1.406558718E1,1.418125097E1
6.666984167E-1,1.663406773E-1,1.858065186E0,1.357811417E1,1.370566524E1
6.766214167E-1,3.509733820E-1,1.734080095E0,1.258107736E1,1.270487007E1
6.865444167E-1,3.929074930E-1,1.398047774E0,1.156166677E1,1.165251270E1
6.964674167E-1,4.611067486E-1,9.600746571E-1,1.069103273E1,1.074395381E1
7.063914167E-1,6.955986612E-1,5.111767486E-1,9.705437751E0,9.743750874E0
7.163144167E-1,1.066755791E0,-1.647894475E-1,8.863277314E0,8.928762973E0
7.262374167E-1,1.274528267E0,-8.812003957E-1,8.009728839E0,8.158228516E0
7.361604167E-1,1.230859652E0,-1.539790275E0,7.532116570E0,7.785804365E0
7.460834167E-1,1.121125687E0,-2.142929692E0,7.869776317E0,8.233009763E0
7.560074168E-1,1.011398958E0,-2.699096672E0,8.314175232E0,8.799634111E0
7.659304168E-1,9.369418294E-1,-3.074888159E0,7.928002891E0,8.554883227E0
7.758534168E-1,8.197434548E-1,-3.256688619E0,6.564702927E0,7.373826999E0
7.857764167E-1,3.856803710E-1,-3.512341458E0,4.489485161E0,5.713210033E0
7.956994167E-1,1.111702607E-1,-3.597972178E0,1.858681921E0,4.051229579E0
8.056234167E-1,3.660495870E-2,-3.439949420E0,-1.265538027E0,3.665539310E0
8.155464167E-1,-1.281032125E-1,-3.231170785E0,-4.386803961E0,5.449855417E0
8.254694167E-1,-1.651312903E-1,-2.905549870E0,-6.821724308E0,7.416563282E0
8.353924167E-1,-9.828029305E-2,-2.604224136E0,-8.333888535E0,8.731857791E0
8.453164167E-1,-8.779996298E-3,-2.196357894E0,-8.998106505E0,9.262288366E0
8.552394167E-1,1.674224852E-1,-1.932985268E0,-9.250739551E0,9.452018016E0
8.651624167E-1,2.600191385E-1,-1.849111199E0,-9.573423994E0,9.753833561E0
8.750854167E-1,7.170696370E-2,-1.789793535E0,-1.020588807E1,1.036188468E1
8.850084167E-1,-4.030606348E-2,-1.712358273E0,-1.084008527E1,1.097457262E1
8.949324167E-1,-1.106930183E-1,-1.661219987E0,-1.163908156E1,1.175755605E1
9.048554167E-1,-3.701201262E-1,-1.738419021E0,-1.250717791E1,1.263283772E1
