"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.794291660E-3,-1.038625714E0,-4.059107870E-2,-6.328628612E-1,1.216924981E0
1.171829167E-2,-1.449293211E0,-4.915493998E-1,-8.582636690E-1,1.754619089E0
2.164129168E-2,-1.749695376E0,-1.909721097E-1,-8.532479274E-1,1.956000072E0
3.156429168E-2,-1.845477447E0,2.016277832E-1,-7.857669657E-1,2.015904386E0
4.148729169E-2,-1.601809352E0,6.512637565E-1,-5.060583884E-1,1.801674991E0
5.141029169E-2,-1.381277521E0,1.087806060E0,-3.158426160E-1,1.786338762E0
6.133329170E-2,-1.297245138E0,1.140356741E0,-5.189006281E-1,1.803473401E0
7.125729171E-2,-1.051421468E0,8.512265450E-1,-1.208646373E0,1.814083732E0
8.118029172E-2,-5.627143997E-1,1.319663948E-1,-2.193350818E0,2.268226275E0
9.110329160E-2,-3.384514600E-1,-8.248491704E-1,-2.898323881E0,3.032359950E0
1.010262916E-1,-8.729841806E-1,-1.416045942E0,-2.326670258E0,2.860189151E0
1.109492916E-1,-1.646113121E0,-1.623587599E0,-6.971494889E-1,2.414900103E0
1.208722916E-1,-1.552056271E0,-1.188235497E0,3.022437465E-1,1.977911411E0
1.307962916E-1,-8.088902186E-1,-5.157589191E-1,1.264337593E-1,9.676239682E-1
1.407192916E-1,6.129987001E-2,-1.407445273E-1,-2.145477909E-1,2.638132874E-1
1.506422916E-1,9.604980686E-1,4.077702016E-4,5.141316390E-1,1.089443917E0
1.605652916E-1,2.274879861E0,5.290838465E-1,1.913531728E0,3.019372745E0
1.704882917E-1,2.633718662E0,1.163913199E0,3.960922594E0,4.896945550E0
1.804122917E-1,2.810965017E0,1.077795042E0,4.986082755E0,5.824447417E0
1.903352917E-1,3.229140632E0,2.863890944E-1,4.794936106E0,5.787985849E0
2.002582917E-1,2.822402171E0,-1.000424246E0,3.313745164E0,4.466285896E0
2.101812917E-1,1.772670256E0,-2.518827891E0,7.193040043E-1,3.162949894E0
2.201042917E-1,3.436670302E-1,-2.814770093E0,-1.773007933E0,3.344337727E0
2.300272917E-1,-6.514999840E-1,-2.217249996E0,-2.883615795E0,3.695387642E0
2.399512917E-1,-1.244445950E0,-1.099933404E0,-2.403375787E0,2.921423350E0
2.498742917E-1,-1.006646414E0,7.405352443E-3,-1.594131081E0,1.885376818E0
2.597972917E-1,1.059151487E-1,1.045343945E0,-1.331209275E0,1.695900975E0
2.697202917E-1,1.221766794E0,1.517966419E0,-1.296312507E0,2.340376522E0
2.796432916E-1,7.158145322E-1,4.520261689E-1,1.309301512E0,1.559162773E0
2.895662916E-1,1.715706097E0,-1.608494620E0,2.085761465E0,3.143454030E0
2.994902916E-1,4.061778293E0,-2.374345092E0,5.233877814E-1,4.733866526E0
3.094132916E-1,3.598440247E0,-1.800242948E0,-5.913944077E-1,4.066865406E0
3.193362916E-1,3.169835539E0,-8.786605114E-1,-4.648599594E0,5.694679958E0
3.292592916E-1,3.701695059E0,-7.088352956E-1,-6.726255648E0,7.710221062E0
3.391822916E-1,2.675632088E0,-1.127821772E0,-6.493170429E0,7.112823015E0
3.491062917E-1,2.377858977E0,-1.084120998E0,-5.365878707E0,5.968432453E0
