"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.254550002E-2,5.715024725E-2,4.220707369E-1,5.792614353E-1,7.189949013E-1
3.260850004E-2,-1.060831100E-2,3.920113707E-1,6.671427476E-1,7.738636164E-1
4.267150001E-2,-2.528862298E-2,2.591260859E-1,5.086691701E-1,5.714281823E-1
5.273350002E-2,-7.892893285E-2,2.673972648E-1,3.941719168E-1,4.828069736E-1
6.279650005E-2,-5.026500463E-2,3.779330295E-1,3.358471102E-1,5.080878142E-1
7.285950001E-2,1.479637921E-2,3.013111156E-1,1.396958292E-1,3.324488621E-1
8.292250003E-2,-2.653714970E-1,1.072622010E-1,-9.569085360E-2,3.018011773E-1
9.298450005E-2,-2.913220248E-1,1.401080579E-1,-2.740239143E-1,4.237781207E-1
1.030475000E-1,-7.365013964E-2,-8.079127103E-2,-2.690917879E-1,2.904513090E-1
1.131105000E-1,-3.828003980E-2,-3.110172012E-1,-2.807049429E-1,4.207045589E-1
1.231735000E-1,-1.866602998E-1,-3.849420869E-1,-2.853599113E-1,5.142497028E-1
1.332355000E-1,-1.590890700E-1,-1.449866822E-1,-1.863817531E-1,2.847255312E-1
1.432985000E-1,-1.662886736E-1,5.590464413E-2,-2.278975689E-1,2.876013806E-1
1.533615000E-1,-1.046526618E-1,1.474770114E-1,-9.675387740E-3,1.810946206E-1
1.634245000E-1,8.235803246E-3,1.048595801E-1,2.014488584E-1,2.272553686E-1
1.734865000E-1,1.241771726E-1,1.232669073E-1,2.327653760E-1,2.911948161E-1
1.835495000E-1,2.579703838E-1,1.348049256E-1,2.913217324E-1,4.118123828E-1
1.936125000E-1,2.861026539E-1,2.125313786E-1,1.622304136E-1,3.915903759E-1
2.036755000E-1,2.862823827E-1,1.952429160E-1,-3.581887364E-2,3.483681825E-1
2.137375000E-1,3.636923551E-1,1.076463631E-1,-2.149284446E-1,4.359519526E-1
2.238005000E-1,3.926389962E-1,3.868371695E-2,-3.193673176E-1,5.075995418E-1
2.338635000E-1,3.781913303E-1,3.912342757E-2,-3.035517687E-1,4.865213265E-1
2.439265000E-1,3.573935151E-1,5.408352882E-2,-2.608472139E-1,4.457537680E-1
2.539885000E-1,3.603858277E-1,4.552349746E-2,-1.920050204E-1,4.108725611E-1
2.640515000E-1,2.793105282E-1,9.914304972E-2,-1.393268698E-1,3.274991483E-1
2.741145000E-1,1.517587812E-1,1.448212060E-1,-1.756790096E-1,2.736183908E-1
2.841775000E-1,6.716375023E-2,1.419569474E-1,-2.702594769E-1,3.125746777E-1
2.942395000E-1,1.957209259E-3,1.655814528E-2,-3.935076731E-1,3.938607516E-1
3.043025000E-1,-9.252444014E-2,5.551931262E-2,-3.298028433E-1,3.470058812E-1
3.143655000E-1,-9.075521886E-2,1.191943216E-1,-3.558831793E-1,3.861303321E-1
3.244285000E-1,-5.945536584E-2,9.546924412E-2,-2.939044476E-1,3.146889598E-1
3.344905000E-1,4.219920918E-2,4.824216038E-2,-3.056965274E-1,3.123434746E-1
3.445535000E-1,2.706683435E-2,-3.005819678E-2,-3.354296190E-1,3.378596424E-1
3.546165000E-1,9.223631859E-2,-1.303271279E-1,-2.278724259E-1,2.782418754E-1
3.646795000E-1,1.181557830E-1,-1.514946333E-1,-1.209607655E-1,2.270306582E-1
3.747415000E-1,3.606847666E-2,-3.469123811E-2,-8.507055581E-2,9.869861435E-2
3.848045000E-1,8.477289598E-2,2.786198258E-3,-7.469525635E-2,1.130202996E-1
3.948675000E-1,3.198551215E-1,-1.465528589E-1,-1.030185843E-1,3.666031477E-1
4.049305000E-1,6.152624497E-1,-2.628282505E-1,-2.505911976E-1,7.144386045E-1
4.149925000E-1,-5.949176475E-4,1.454430574E-1,1.008042437E-1,1.769619519E-1
4.250555000E-1,-1.531886447E-1,2.253791732E-1,1.485490984E-1,3.103697266E-1
4.351185000E-1,6.298130997E-2,4.055160999E-2,-1.436070317E-1,1.619693120E-1
4.451815001E-1,-1.073563412E-2,1.012264127E-1,2.126632333E-3,1.018163200E-1
4.552435000E-1,-1.116636195E-1,1.894837010E-1,-1.988895321E-1,2.965297335E-1
4.653065000E-1,-4.785631724E-2,9.125690997E-2,-2.204645884E-1,2.433571151E-1
4.753695000E-1,3.972495988E-2,1.900052726E-2,-2.251154637E-1,2.293819184E-1
4.854325000E-1,7.964676993E-2,3.104959220E-2,-2.444773489E-1,2.589920062E-1
4.954945000E-1,1.214269347E-2,3.259968907E-2,-5.732961059E-2,6.705869803E-2
5.055575000E-1,-1.451359324E-2,-1.054106802E-2,-9.891910136E-2,1.005323188E-1
5.156205000E-1,4.702177338E-2,-4.813983411E-2,-8.230599225E-2,1.063144730E-1
5.256835000E-1,1.485929525E-1,-6.289118975E-2,-5.418263912E-2,1.702084771E-1
5.357455000E-1,2.188885445E-1,-7.069693029E-2,-6.882523656E-2,2.400982384E-1
5.458085000E-1,2.004224528E-1,-6.370950758E-2,-1.634823024E-2,2.109391513E-1
5.558715001E-1,1.695585097E-1,-4.157107204E-2,-1.344918072E-2,1.750974663E-1
5.659345000E-1,1.457612921E-1,2.767428696E-2,-4.993054390E-2,1.565416228E-1
5.759965000E-1,1.791414383E-1,6.390714347E-2,-1.153117704E-1,2.224243294E-1
5.860595000E-1,1.126473404E-1,1.102322942E-1,-1.640056282E-1,2.274608276E-1
5.961225000E-1,-5.977988631E-2,2.393686366E-1,-8.268840015E-2,2.602082830E-1
6.061855000E-1,-1.145260874E-1,3.483522579E-1,-1.299034971E-1,3.890249849E-1
6.162475000E-1,-1.082396362E-1,2.984874952E-1,-1.973037672E-1,3.738173086E-1
6.263105000E-1,-1.739350044E-1,2.723413780E-1,-2.380249465E-1,4.013465922E-1
6.363735000E-1,-2.090204545E-1,3.365394205E-1,-3.219482785E-1,5.104890067E-1
6.464365000E-1,-2.171009045E-1,3.744010189E-1,-4.236132324E-1,6.056047361E-1
6.564985000E-1,-9.705522828E-2,2.986585262E-1,-5.042551070E-1,5.940453229E-1
6.665615000E-1,2.615803085E-2,1.880321297E-1,-5.688259095E-1,5.996692753E-1
6.766245000E-1,4.032042570E-2,9.032603323E-2,-6.587777209E-1,6.661626037E-1
6.866875000E-1,-9.304425761E-2,2.246266365E-2,-8.724279642E-1,8.776630093E-1
6.967495000E-1,-2.590893947E-1,3.314055651E-2,-1.077475784E0,1.108683758E0
7.068125000E-1,-3.798218264E-1,3.102795750E-2,-1.090877017E0,1.155525863E0
7.168755000E-1,-3.370645005E-1,-9.556923151E-2,-1.268479176E0,1.315973167E0
7.269385000E-1,-1.784280780E-1,-3.286719918E-1,-1.515011237E0,1.560487393E0
7.370005000E-1,-7.885109179E-2,-4.469632110E-1,-1.775388919E0,1.832484494E0
7.470635000E-1,9.968296699E-2,-5.810518527E-1,-2.086068444E0,2.167772936E0
