"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.132825000E-1,-4.319235876E-1,-2.624152909E-1,8.957718033E-1,1.028507119E0
6.233475000E-1,-1.310754253E-1,-9.076793656E-2,9.424068564E-1,9.557982363E-1
6.334115000E-1,1.856786254E-1,2.609827231E-1,9.815639055E-1,1.032499992E0
6.434765000E-1,1.888378760E-1,5.127429253E-1,1.108819783E0,1.236141724E0
6.535415000E-1,-1.054900561E-1,5.346636982E-1,1.131558436E0,1.255952991E0
6.636065000E-1,-4.136375901E-1,4.629506680E-1,1.070662023E0,1.237633445E0
6.736705000E-1,-6.727454035E-1,4.285022356E-1,8.631601274E-1,1.175264204E0
6.837358750E-1,-7.492259610E-1,3.628539374E-1,5.185275757E-1,9.807514299E-1
6.937998750E-1,-6.701113790E-1,3.701647112E-1,2.415221661E-1,8.027478623E-1
7.038648750E-1,-6.403984603E-1,4.396720254E-1,2.075656307E-1,8.040554514E-1
7.139298750E-1,-7.737971306E-1,5.101999712E-1,3.285842836E-1,9.833786866E-1
7.239948750E-1,-9.427910185E-1,4.006649575E-1,6.321489161E-1,1.203743978E0
7.340588750E-1,-9.475790110E-1,2.554117884E-1,8.465493572E-1,1.296065962E0
7.441238750E-1,-8.154611734E-1,2.053596224E-1,9.760739547E-1,1.288359369E0
7.541878750E-1,-7.268147528E-1,8.493183061E-2,1.124933540E0,1.341994251E0
7.642528750E-1,-5.870233217E-1,-6.898720443E-2,1.320996528E0,1.447199863E0
7.743178750E-1,-4.339195347E-1,-7.904046848E-2,1.520847343E0,1.583511982E0
7.843818750E-1,-3.414759323E-1,-1.093967271E-1,1.617750909E0,1.657012812E0
7.944468751E-1,-2.296131420E-1,-5.709170200E-2,1.681098474E0,1.697667145E0
8.045118750E-1,-1.665509212E-1,4.713045850E-2,1.629624265E0,1.638790937E0
8.145758750E-1,-2.082778215E-1,8.801419035E-2,1.460069629E0,1.477474017E0
8.246408750E-1,-3.319744992E-1,5.318795465E-2,1.274318206E0,1.317923714E0
8.347058750E-1,-4.865976852E-1,4.849695280E-2,1.003134284E0,1.115978339E0
8.447698750E-1,-6.509044451E-1,-6.104463905E-2,7.902283913E-1,1.025604190E0
8.548348750E-1,-6.795590177E-1,-7.567605369E-2,7.470507967E-1,1.012725144E0
8.648998750E-1,-5.837237379E-1,-7.813349225E-2,9.867147177E-1,1.149105817E0
8.749638750E-1,-3.609790277E-1,1.202868739E-1,1.143085052E0,1.204748200E0
8.850288750E-1,-1.827889314E-1,3.106707537E-1,1.156499734E0,1.211371019E0
8.950938750E-1,-5.900571495E-2,3.351257099E-1,1.052857836E0,1.106481152E0
9.051578750E-1,5.278486222E-2,3.285985362E-1,1.102286105E0,1.151432975E0
9.152228750E-1,3.456055284E-2,3.249318203E-1,1.435679723E0,1.472396477E0
9.252878750E-1,-1.574473912E-1,4.209419319E-1,1.727309019E0,1.784818825E0
9.353518750E-1,-3.326747033E-1,4.692215876E-1,1.654562055E0,1.751689741E0
9.454168750E-1,-4.090393397E-1,4.445984508E-1,1.156725436E0,1.304988390E0
9.554818750E-1,-3.602873021E-1,4.001294987E-1,6.406858510E-1,8.368924157E-1
9.655458750E-1,-2.022104582E-1,3.252651116E-1,4.203545791E-1,5.686690025E-1
9.756108750E-1,6.531105995E-2,4.320665520E-1,1.357483739E-1,4.575747600E-1
9.856758750E-1,7.459608757E-1,9.589445364E-1,-9.217515671E-1,1.525010886E0
9.957398750E-1,1.171242611E0,6.980726181E-1,-2.232656971E0,2.616079468E0
1.005804875E0,1.050415747E0,-1.859948136E-1,-3.169055813E0,3.343782597E0
1.015869875E0,6.297220293E-1,-1.062795179E0,-3.337103037E0,3.558418203E0
1.025933875E0,-3.851850387E-1,-1.048593316E0,-1.969377315E0,2.264147183E0
1.035998875E0,-1.972091300E0,-3.440777971E-1,1.293510522E0,2.383422559E0
1.046063875E0,-2.560703603E0,2.771337560E-1,3.099122529E0,4.029710475E0
1.056127875E0,-1.475377932E0,3.563161656E-1,1.863691816E0,2.403549133E0
1.066192875E0,7.220024943E-2,-9.400378570E-2,3.199011683E-3,1.185741178E-1
1.076257875E0,1.155909458E0,-2.272612457E-1,-6.775624859E-1,1.358994213E0
1.086321875E0,1.746109279E0,2.890454113E-2,-4.572388154E-1,1.805214785E0
1.096386875E0,1.840019071E0,2.028005885E-1,-2.629861253E-1,1.869748636E0
1.106451875E0,1.408315046E0,9.847178936E-2,-5.899659330E-1,1.530067895E0
1.116515875E0,4.436639196E-1,-4.330740273E-1,-7.210388732E-1,9.509405046E-1
1.126580875E0,-7.917732257E-1,-9.948196895E-1,9.203458965E-2,1.274771125E0
1.136645875E0,-1.485704407E0,-9.190425521E-1,1.043402889E0,2.034857829E0
1.146709875E0,-1.220378226E0,-4.751213551E-1,8.961021709E-1,1.586840388E0
1.156774875E0,-6.446783298E-1,-2.978191402E-1,1.158877212E-1,7.195389865E-1
1.166839875E0,-5.614595872E-1,-2.332517181E-1,-2.685117441E-1,6.646365840E-1
