"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.005858334E-2,-1.091432503E-1,2.500620246E-2,3.781262800E-2,1.181835610E-1
2.012058336E-2,-1.020394680E-1,2.436651707E-2,3.507613108E-2,1.106169750E-1
3.018258337E-2,-4.755628198E-2,1.443560600E-2,1.068768695E-2,5.083515840E-2
4.024558340E-2,-2.153821886E-2,1.607048750E-2,-5.829674006E-4,2.687927252E-2
5.030758341E-2,-2.086228073E-2,8.452734947E-3,1.705925167E-2,2.824361083E-2
6.036958343E-2,-2.962930351E-2,-2.124527335E-2,6.237999693E-2,7.225317490E-2
7.043258334E-2,-2.459514320E-2,-3.726313591E-2,9.184280097E-2,1.021203332E-1
8.049458335E-2,-3.192930579E-2,-5.202910960E-2,5.911593497E-2,8.497765931E-2
9.055758337E-2,-6.948831081E-2,-9.719066441E-2,1.124302626E-2,1.200044009E-1
1.006195834E-1,-1.075484222E-1,-4.444936395E-2,5.409843922E-3,1.164975343E-1
1.106815834E-1,-5.049099952E-2,1.606639445E-2,2.306068763E-2,5.778637709E-2
1.207445833E-1,6.678952843E-2,3.396179795E-2,1.351759315E-2,7.613783654E-2
1.308065833E-1,5.141369015E-2,3.384485364E-2,3.384792343E-2,7.024616412E-2
1.408685833E-1,2.168849230E-2,9.563705921E-3,6.767421216E-3,2.465062188E-2
1.509315834E-1,1.120501935E-2,2.745209277E-2,-4.743582934E-2,5.594039472E-2
1.609935834E-1,-1.146229684E-2,2.102132499E-2,-3.985593751E-2,4.649490411E-2
1.710565834E-1,-1.337609053E-2,2.057693660E-2,-4.593587235E-2,5.208103768E-2
1.811185834E-1,-4.095652968E-2,1.551792562E-2,-2.912922040E-2,5.259995076E-2
1.911805833E-1,-3.917780668E-2,1.512440801E-2,-2.026308730E-2,4.662875680E-2
2.012435833E-1,-7.396727800E-3,6.093091071E-2,-2.243459702E-2,6.534981718E-2
2.113055834E-1,4.391785204E-2,9.564349115E-2,4.657891989E-3,1.053477626E-1
2.213675834E-1,6.534205019E-2,5.305354178E-2,4.206179962E-2,9.409280953E-2
2.314305834E-1,7.927801162E-2,-5.919311821E-2,7.223591745E-2,1.225024740E-1
2.414925834E-1,-8.390169740E-3,-1.762806880E-1,3.612658337E-2,1.801399621E-1
2.515555833E-1,-1.014787200E-1,-1.868337429E-1,9.058798850E-4,2.126160829E-1
2.616175833E-1,-1.588910687E-1,-7.250722826E-2,-2.639593944E-2,1.766363934E-1
2.716795834E-1,-2.030533344E-1,-6.834225655E-3,-4.553051412E-2,2.082075670E-1
2.817425834E-1,-1.824328360E-1,6.786746264E-2,-4.450608194E-2,1.996710381E-1
2.918045834E-1,-1.012410307E-1,1.221535975E-1,-8.189712569E-2,1.785451956E-1
3.018665834E-1,6.384633243E-2,1.189440608E-1,-4.251335084E-2,1.415324301E-1
3.119295833E-1,2.238822860E-1,-3.327533484E-2,5.578828454E-3,2.264103558E-1
3.219915833E-1,1.938559565E-1,-1.251122886E-1,1.727706045E-3,2.307297155E-1
3.320579167E-1,2.147702774E-1,-2.340903550E-1,-1.215709224E-2,3.179187967E-1
3.421199167E-1,1.843293804E-1,-2.658518457E-1,-5.244016886E-2,3.277262511E-1
3.521819167E-1,-4.586789846E-2,-2.410152125E-1,-1.412511885E-2,2.457472599E-1
3.622449167E-1,-5.907529682E-2,-2.321128267E-1,-1.234518255E-1,2.694561342E-1
3.723069167E-1,-3.103599742E-1,-1.937773114E-1,-9.269605592E-2,3.774460475E-1
3.823689168E-1,-2.891828209E-1,-1.091990912E-1,1.157070422E-1,3.300594871E-1
3.924319167E-1,-1.505228260E-1,4.669586420E-2,1.929230332E-1,2.491122671E-1
4.024939167E-1,4.546882600E-2,2.813949144E-1,2.396538346E-1,3.724036418E-1
4.125569167E-1,-2.806488097E-2,4.853797102E-1,2.721902275E-1,5.571971111E-1
4.226189167E-1,-3.308664519E-1,4.555290896E-1,2.239037745E-1,6.058978962E-1
4.326809167E-1,-7.624139173E-1,1.516878837E-1,1.048889624E-1,7.844016126E-1
4.427439166E-1,-1.307212741E0,-2.511332345E-1,-5.432414174E-2,1.332225267E0
4.528059167E-1,-1.493519503E0,-4.936681384E-1,-1.272529542E-1,1.578132457E0
4.628679167E-1,-1.218123101E0,-5.792076409E-1,1.133827740E-1,1.353573431E0
4.729309167E-1,-7.177825588E-1,-5.876574522E-1,2.132251507E-1,9.518498032E-1
4.829929167E-1,8.313293472E-2,-1.826243323E-1,1.903935277E-1,2.766087978E-1
4.930559167E-1,4.949195887E-1,-3.375854874E-1,1.949559639E-1,6.300136415E-1
5.031179168E-1,1.264700852E0,-1.546801963E0,-9.417598620E-2,2.000233405E0
5.131799167E-1,6.944919294E-1,-2.531974770E0,-3.346601254E-1,2.646736231E0
5.232429167E-1,4.783592507E-1,-2.911837966E0,-4.881723404E-2,2.951272782E0
5.333049167E-1,4.135551444E-1,-2.628229880E0,2.282818772E-1,2.670343195E0
5.433669167E-1,2.984470032E-1,-1.927936344E0,1.595063420E-1,1.957409367E0
5.534299167E-1,2.698006167E-1,-1.230768728E0,1.819185734E-2,1.260124985E0
5.634919167E-1,-1.477243486E-1,-8.262641966E-1,7.030341268E-2,8.423049184E-1
5.735549167E-1,-3.220967978E-1,-5.315826541E-1,3.546102405E-2,6.225624062E-1
5.836169167E-1,-4.620690541E-1,2.263211596E-1,-3.643049240E-2,5.158064160E-1
5.936789167E-1,-6.134252545E-1,5.013092798E-1,-9.473074079E-3,7.922696991E-1
6.037419167E-1,-3.436522660E-1,5.641048676E-1,1.376585130E-1,6.747303519E-1
6.138039167E-1,2.801596901E-1,1.226400273E0,2.389381354E-1,1.280483704E0
6.238659167E-1,8.380568612E-1,1.551324200E0,3.383140504E-1,1.795383656E0
6.339289166E-1,8.206764512E-1,1.354473007E0,2.540929489E-1,1.603954548E0
6.439909167E-1,4.723127912E-1,1.222925273E0,1.540479662E-1,1.319983474E0
6.540539167E-1,3.754989798E-1,1.179272300E0,1.969396318E-1,1.253183091E0
6.641159167E-1,1.909900899E-1,1.020983495E0,2.071389301E-1,1.059146377E0
6.741779167E-1,-1.443648309E-1,7.035276318E-1,4.994457722E-2,7.199213803E-1
6.842409167E-1,-3.306112209E-1,2.507426405E-1,-6.118935764E-2,4.194279302E-1
6.943029168E-1,-5.034264104E-1,-5.070588470E-1,-1.666416992E-1,7.337004027E-1
7.043649167E-1,-6.193248028E-1,-9.795606494E-1,-2.503216410E-1,1.185648852E0
7.144279167E-1,-1.165583968E-1,-7.613402224E-1,-2.633539152E-1,8.139902203E-1
7.244899167E-1,4.435099916E-1,4.355006218E-3,2.573399077E-1,5.127805640E-1
7.345529167E-1,3.364319779E-1,5.335005409E-1,4.397584181E-1,7.688932105E-1
7.446149167E-1,-2.061457805E-1,4.818772280E-1,1.181580488E-1,5.372737386E-1
7.546769168E-1,-6.433336164E-1,1.364915550E-2,-6.554567948E-2,6.468080686E-1
7.647399167E-1,-5.713447438E-1,-2.360585278E-1,1.264621183E-2,6.183189885E-1
7.748019167E-1,-3.796532804E-1,-3.367627841E-1,6.500700474E-2,5.116362934E-1
7.848639167E-1,-3.552794543E-1,-5.179177111E-1,-5.887678385E-2,6.308159175E-1
7.949269167E-1,-3.345664237E-1,-4.598250389E-1,-1.288327257E-1,5.830708615E-1
8.049889167E-1,-2.128602114E-1,-1.301286149E-1,-5.031543687E-2,2.545084855E-1
8.150519168E-1,1.038940586E-1,9.144519031E-2,4.659543827E-2,1.460388069E-1
8.251139167E-1,2.750460807E-1,2.219363326E-1,5.284567326E-3,3.534600528E-1
8.351759167E-1,-8.615843028E-2,-2.689719200E-5,5.386455059E-2,1.016103619E-1
8.452389167E-1,-1.599149892E-1,-3.934895468E-1,1.349340029E-1,4.456613202E-1
8.553009167E-1,2.900562488E-2,-3.756204557E-1,9.917360142E-2,3.895734286E-1
8.653629167E-1,-6.751341373E-2,-1.879429597E-1,-1.273523569E-2,2.001069798E-1
8.754259167E-1,-3.441027939E-2,2.178263247E-2,-9.279180408E-2,1.013354297E-1
8.854879166E-1,2.290091246E-1,1.950783169E-1,5.516731024E-2,3.058498995E-1
8.955509167E-1,2.931423361E-1,1.936328852E-1,1.908675908E-1,3.998206606E-1
9.056129167E-1,1.326616287E-2,-2.232963949E-1,1.631045723E-1,2.768399765E-1
9.156749167E-1,-8.015889466E-2,-1.039258967E0,8.431743443E-2,1.045750486E0
9.257379167E-1,-1.206127100E-2,-1.345670024E0,1.101380078E-1,1.350223563E0
9.357999167E-1,8.791603021E-2,-1.049975159E0,1.630082394E-1,1.066184200E0
9.458619168E-1,9.071165711E-2,-8.951502442E-1,3.771804929E-2,9.005249667E-1
9.559249167E-1,2.631575949E-2,-9.673990256E-1,-9.477181748E-2,9.723862870E-1
9.659869167E-1,1.409537114E-2,-9.280472642E-1,-8.427606538E-2,9.319725636E-1
9.760499167E-1,2.585721353E-1,-8.323482245E-1,5.529521808E-2,8.733388101E-1
9.861119167E-1,3.660039056E-1,-3.741323394E-1,7.656271085E-3,5.234429145E-1
9.961739167E-1,4.176932920E-1,5.622741044E-2,-8.467301823E-2,4.298822256E-1
1.006236917E0,4.914889177E-1,2.062231100E-1,-1.077309284E-1,5.437787052E-1
1.016298917E0,6.097067543E-1,5.192327499E-1,5.960468911E-2,8.030552246E-1
1.026360917E0,6.381475747E-1,1.045121970E0,2.788478673E-1,1.255893464E0
1.036423917E0,6.939200717E-1,1.344599984E0,2.729667377E-1,1.537525617E0
1.046485917E0,6.311367631E-1,7.753881580E-1,1.341398048E-1,1.008738765E0
1.056547917E0,4.541817449E-2,3.244853854E-2,-1.767413025E-1,1.853461794E-1
1.066610917E0,-3.474216735E-1,-1.659989440E-1,-6.201451671E-1,7.299571884E-1
1.076672917E0,-3.575597953E-1,-8.521164912E-1,-2.537921096E-1,9.583120351E-1
1.086735917E0,-1.728302095E-1,-8.662240684E-1,9.616615914E-2,8.885169375E-1
1.096797917E0,2.665983159E-2,3.079775262E-1,2.560033073E-1,4.013708966E-1
1.106859917E0,1.973181294E-1,9.791905206E-1,6.684295736E-2,1.001107637E0
1.116922917E0,2.109108593E-1,1.218621138E0,-7.022805668E-2,1.238730337E0
1.126984917E0,9.566395640E-2,-1.397129030E0,-6.444894648E-1,1.541586128E0
