"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.051845417E-1,7.540370500E-1,-2.580354633E0,-4.475547738E0,5.220855242E0
6.151075417E-1,6.502577430E-1,-2.297382870E0,-4.237740893E0,4.864077617E0
6.250305417E-1,5.738954455E-1,-1.769176106E0,-3.022543300E0,3.548958731E0
6.349535416E-1,7.856500214E-1,-1.490915884E0,-1.759717212E0,2.436530483E0
6.448765416E-1,9.096384752E-1,-2.131798348E0,-6.416939110E-1,2.404948529E0
6.547995416E-1,6.723134404E-1,-2.945865837E0,5.235696298E-1,3.066635950E0
6.647225416E-1,-6.494093120E-2,-3.318965558E0,1.434946482E0,3.616465278E0
6.746455416E-1,-1.487937459E0,-3.343712437E0,1.841118640E0,4.096838853E0
6.845685416E-1,-2.728378066E0,-3.062896689E0,2.773929631E0,4.951774288E0
6.944915416E-1,-2.671653058E0,-2.861703939E0,3.699898210E0,5.386680449E0
7.044145416E-1,-1.473674346E0,-3.059628680E0,3.952073418E0,5.210751197E0
7.143375416E-1,-8.831704688E-1,-2.842208737E0,4.101773248E0,5.067808635E0
7.242605416E-1,-7.879900771E-1,-2.023014555E0,4.293113148E0,4.810856135E0
7.341835416E-1,2.673066330E-1,-1.365053836E0,4.342580885E0,4.559915959E0
7.441065416E-1,2.044712257E0,-6.409755074E-1,4.452608526E0,4.941398638E0
7.540295416E-1,3.089616711E0,2.172744937E-1,4.482370562E0,5.448356218E0
7.639525416E-1,3.355818220E0,1.113864469E0,4.440601854E0,5.676368100E0
7.738745416E-1,3.317960422E0,1.998961887E0,4.528879900E0,5.959485140E0
7.837975416E-1,3.295287259E0,2.688902929E0,4.863943191E0,6.461196518E0
7.937205416E-1,3.113475689E0,3.210228690E0,5.220129256E0,6.873794335E0
8.036435416E-1,3.060692874E0,3.706245947E0,5.175805022E0,7.063501788E0
8.135665416E-1,3.427646586E0,4.042659945E0,5.016415771E0,7.297690575E0
8.234895417E-1,3.859037785E0,4.080612467E0,4.914273099E0,7.462817888E0
8.334125417E-1,4.172558472E0,4.170682100E0,4.497430358E0,7.418336283E0
8.433355417E-1,4.287291952E0,4.392605569E0,3.760492905E0,7.198413913E0
8.532584583E-1,4.832359455E0,4.865265831E0,2.907922086E0,7.448390455E0
8.631814583E-1,5.624968248E0,5.437369689E0,2.021084243E0,8.080225148E0
8.731044583E-1,6.090282653E0,5.775765016E0,1.038849662E0,8.457553602E0
8.830274583E-1,6.354721811E0,6.079276439E0,1.045400663E-1,8.794942862E0
8.929504583E-1,6.263274867E0,6.357767626E0,-8.436959159E-1,8.964465631E0
9.028734583E-1,5.847692785E0,6.313056307E0,-1.691789523E0,8.769968223E0
9.127964582E-1,5.520287300E0,6.195813786E0,-2.498813456E0,8.666357311E0
9.227194582E-1,5.132971244E0,6.069059599E0,-3.255252542E0,8.589385736E0
9.326424582E-1,4.588196102E0,5.790166708E0,-3.702385030E0,8.263487695E0
9.425654582E-1,4.247202272E0,5.224379597E0,-3.757803186E0,7.710639020E0
9.524884582E-1,3.752302710E0,4.498558871E0,-3.925521796E0,7.051703973E0
9.624114583E-1,2.492766851E0,3.849320590E0,-3.928764662E0,6.038737231E0
9.723344583E-1,1.388921878E0,3.237496887E0,-3.599954676E0,5.036880359E0
9.822574583E-1,6.587332821E-1,2.782860960E0,-3.163526101E0,4.264521316E0
9.921804583E-1,3.267687231E-1,2.633926530E0,-2.705532995E0,3.790020521E0
1.002103458E0,3.270219076E-1,2.600759076E0,-2.219246966E0,3.434522994E0
1.012026458E0,3.785113192E-1,2.538172527E0,-1.971222696E0,3.235940283E0
1.021949458E0,4.803452575E-1,2.492303751E0,-1.813250810E0,3.119324936E0
1.031872458E0,5.528682733E-1,2.276245040E0,-2.028783857E0,3.098857652E0
1.041795458E0,2.456596559E-1,1.572119530E0,-3.854962860E0,4.170449273E0
1.051718458E0,-5.106794429E-1,1.245623872E0,-5.200950973E0,5.372361059E0
1.061641458E0,-6.502764541E-1,1.659506168E0,-3.696186397E0,4.103488037E0
1.071564458E0,1.807771969E-1,1.730035283E0,-1.312641442E0,2.179158101E0
1.081487458E0,8.287223661E-1,1.049909378E0,4.252224227E-1,1.403532889E0
1.091410458E0,5.006052750E-1,4.636727992E-1,8.251333451E-1,1.070720852E0
1.101333458E0,-4.315128207E-1,-8.784476727E-2,2.510712906E-1,5.069090752E-1
1.111256458E0,-1.157667423E0,-2.719689104E-1,-3.066548860E-1,1.228087199E0
1.121179458E0,-1.085205803E0,-1.665833732E-1,-3.866845572E-1,1.164021736E0
1.131102458E0,-6.490654957E-1,-1.437230989E-1,-3.920733146E-1,7.717926088E-1
1.141025458E0,-1.272272265E-1,1.461116865E-1,-3.802665802E-1,4.267763631E-1
1.150948458E0,3.038347739E-1,1.239141941E-1,-2.616675417E-1,4.196906000E-1
