"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.887083265E-3,7.699537557E-1,4.404239774E-2,-1.032413632E0,1.288660710E0
1.381108328E-2,5.430455357E-1,-7.212248147E-2,-4.613037997E-1,7.161712797E-1
2.373408328E-2,6.022105873E-1,-1.213621768E-1,-9.704740763E-2,6.219361452E-1
3.365808330E-2,2.042262858E-1,-3.173488587E-2,-3.950063145E-1,4.458087789E-1
4.358108330E-2,-6.894802809E-2,7.641901553E-2,-8.506447470E-1,8.568489844E-1
5.350508331E-2,9.441791475E-2,-1.064076304E-2,-9.159604847E-1,9.208754411E-1
6.342808332E-2,2.701016021E-1,-8.029805839E-2,-7.601514834E-1,8.106990387E-1
7.335208333E-2,3.935883647E-1,-8.779009581E-3,-5.460761476E-1,6.731924174E-1
8.327508334E-2,2.844573936E-1,2.749448508E-2,-4.370524728E-1,5.221942354E-1
9.319908335E-2,1.801839969E-1,7.528027028E-2,-3.868020862E-1,4.333004105E-1
1.031220832E-1,2.163674444E-1,1.918255109E-1,-2.674411190E-1,3.938739008E-1
1.130460833E-1,-9.524061799E-2,5.273381603E-1,1.064333582E-1,5.463372313E-1
1.229695416E-1,-1.165582214E0,6.551898694E-1,5.608479685E-1,1.449967622E0
1.328935416E-1,-2.139288631E-1,2.328370044E-1,9.241857630E-1,9.767793782E-1
1.428165416E-1,9.399077564E-1,-9.700004518E-2,8.705340511E-1,1.284782135E0
1.527405416E-1,1.327577277E0,-3.926747373E-1,6.759837377E-1,1.540652099E0
1.626635416E-1,1.453740603E0,-6.909847695E-1,1.519796598E-1,1.616762045E0
1.725875416E-1,1.337340665E0,-8.560703784E-1,-5.020887136E-1,1.665361710E0
1.825105416E-1,9.491258919E-1,-8.187522787E-1,-9.748530561E-1,1.587933794E0
1.924345416E-1,5.427049354E-1,-6.813535282E-1,-9.524944729E-1,1.290742809E0
2.023575417E-1,6.136392626E-1,-9.793548274E-1,-5.327865958E-1,1.272615645E0
2.122815417E-1,1.215565968E-1,-7.690132311E-1,-1.073045933E-1,7.859208812E-1
2.222045417E-1,-1.361728817E-1,-4.349033287E-1,5.803075022E-1,7.378622880E-1
2.321285416E-1,2.968397498E-2,-1.720212838E-1,9.730509442E-1,9.885851508E-1
2.420515416E-1,8.209607720E-2,1.357077357E-1,1.115596706E0,1.126815143E0
2.519755416E-1,-1.097338191E-1,3.536647457E-1,1.145288283E0,1.203663372E0
2.618985416E-1,-4.177353188E-1,3.330407390E-1,8.948853654E-1,1.042227781E0
2.718225416E-1,-5.946630013E-1,1.183986618E-1,4.141167694E-1,7.342581473E-1
